president_name,speech_title,speech_date,speech_duration
Dwight D. Eisenhower,State of the Union Address,"February 02, 1953",6986
Martin Van Buren,Fourth Annual Message to Congress,"December 05, 1840",8978
Franklin Pierce,Message Regarding Transit Across Central America,"May 15, 1854",3023
George W. Bush,Address on the U.S. Response to the Attacks of September 11,"September 20, 2001",2957
Franklin D. Roosevelt,Fireside Chat 11: On the Unemployment Census,"November 14, 1937",1615
Grover Cleveland,Second Annual Message,"December 06, 1886",15134
Lyndon B. Johnson,Remarks on the Signing of the Voting Rights Act,"August 06, 1965",1855
Lyndon B. Johnson,Report to the Nation on Events in China and the USSR,"October 18, 1964",3880
Theodore Roosevelt,Fourth Annual Message,"December 06, 1904",17406
George H. W. Bush,Acceptance Speech at the Republican National Convention,"August 18, 1988",4138
Andrew Johnson,First Annual Message,"December 04, 1865",8503
Gerald Ford,Address to the General Assembly of the United Nations,"September 18, 1974",2072
Ulysses S. Grant,Message Regarding Intervention in Louisiana,"January 13, 1875",4875
Ronald Reagan,Address to the Nation on National Security,"March 23, 1983",4492
Woodrow Wilson,Address at Gettysburg,"July 04, 1913",1257
Barack Obama,2014 State of the Union Address,"January 28, 2014",6838
John F. Kennedy,"Debate with Richard Nixon in Washington, D.C.","October 07, 1960",11282
Ulysses S. Grant,Message on Presidential Powers and Obligations,"May 04, 1876",2768
Richard M. Nixon,Address to the Nation on Plan for Peace in Vietnam,"January 25, 1972",2502
Barack Obama,2013 State of the Union Address,"February 13, 2013",6918
Woodrow Wilson,Message Regarding German Actions,"April 19, 1916",1958
Thomas Jefferson,Second Annual Message,"December 15, 1802",2120
Ulysses S. Grant,Announcement of Fifteenth Amendment Ratification,"March 30, 1870",998
Ronald Reagan,Address to the Bundestag in West Germany,"June 09, 1982",3400
Franklin Pierce,Second Annual Message,"December 04, 1854",10134
Lyndon B. Johnson,Press Conference,"March 09, 1967",4423
Grover Cleveland,Message Regarding U.S. Labor Force,"April 22, 1886",1160
George H. W. Bush,Commencement Address at Texas A&M University,"May 12, 1989",2423
William McKinley,Second Inaugural Address,"March 04, 1901",2042
John F. Kennedy,Address at the Mormon Tabernacle,"September 26, 1963",3739
Joe Biden,State of the Union Address,"March 01, 2022",6486
